"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
ASIA2107,ACICIS International Relations Program,"Second Semester, 2018",Undergraduate,6,In Person
CBEA3070,ANU College of Business and Economics Internship Project (UG),"Second Semester, 2018",Undergraduate,6,In Person
SCNC5922,ANU/NUS JD (Band 2 NP),"Second Semester, 2018",Undergraduate,6,In Person
ASGS1106,ASGS1106 Support For Microeconomics 1,"Second Semester, 2018",Undergraduate,6,In Person
ASGS1107,ASGS1107 Support for Communication For Business,"Second Semester, 2018",Undergraduate,6,In Person
BUSN3051,Accounting Analytics,"Second Semester, 2018",Undergraduate,6,In Person
BUSN4500,Accounting Honours Thesis,"Second Semester, 2018",Undergraduate,6,In Person
INFS2005,Accounting Information Systems,"Second Semester, 2018",Undergraduate,6,In Person
BUSN1002,Accounting Processes and Systems,"Second Semester, 2018",Undergraduate,6,In Person
BUSN3001,Accounting Theory,"Second Semester, 2018",Undergraduate,6,In Person
PREP1010,Achieve Literacy,"Second Semester, 2018",Undergraduate,9,In Person
PREP1011,Achieve Numeracy,"Second Semester, 2018",Undergraduate,9,In Person
PREP1016,Activate Literacy,"Second Semester, 2018",Undergraduate,9,In Person
PREP1018,Activate Mathematics,"Second Semester, 2018",Undergraduate,9,In Person
PREP1017,Activate Numeracy,"Second Semester, 2018",Undergraduate,9,In Person
ACST4032,Actuarial Control Cycle 2,"Second Semester, 2018",Undergraduate,6,In Person
ACST4600,Actuarial Research Essay,"Second Semester, 2018",Undergraduate,6,In Person
STAT3038,Actuarial Techniques,"Second Semester, 2018",Undergraduate,6,In Person
PREP1013,Advance Literacy,"Second Semester, 2018",Undergraduate,9,In Person
PREP1014,Advance Numeracy,"Second Semester, 2018",Undergraduate,9,In Person
MATH2322,"Advanced Algebra 1: Groups, Rings and Linear Algebra","Second Semester, 2018",Undergraduate,6,In Person
MATH3104,"Advanced Algebra 1: Groups, Rings and Linear Algebra","Second Semester, 2018",Undergraduate,6,In Person
COMP4600,Advanced Algorithms,"Second Semester, 2018",Undergraduate,6,In Person
ARAB3002,Advanced Arabic B,"Second Semester, 2018",Undergraduate,6,Online
BUSN4056,Advanced Auditing and Assurance Services,"Second Semester, 2018",Undergraduate,6,In Person
MATH3228,Advanced Complex Analysis,"Second Semester, 2018",Undergraduate,6,In Person
COMP4560,Advanced Computing Project,"Second Semester, 2018",Undergraduate,6,In Person
COMP3560,Advanced Computing R&D Industry Experience,"Second Semester, 2018",Undergraduate,0,In Person
COMP3550,Advanced Computing R&D Project,"Second Semester, 2018",Undergraduate,6,In Person
COMP4550,Advanced Computing Research Project,"Second Semester, 2018",Undergraduate,12,In Person
FINM4015,Advanced Corporate Finance,"Second Semester, 2018",Undergraduate,6,In Person
FINM3007,Advanced Derivatives Pricing and Applications,"Second Semester, 2018",Undergraduate,6,In Person
EMSC4109,Advanced Earth Physics,"Second Semester, 2018",Undergraduate,6,In Person
PHIL3073,"Advanced Ethics, Social and Political Philosophy","Second Semester, 2018",Undergraduate,6,In Person
FREN3011,Advanced French II,"Second Semester, 2018",Undergraduate,6,In Person
MATH3325,"Advanced Functional Analysis, Spectral theory and Applications","Second Semester, 2018",Undergraduate,6,In Person
LAWS4264,Advanced International Law,"Second Semester, 2018",Undergraduate,6,In Person
FINM4106,Advanced Investments,"Second Semester, 2018",Undergraduate,6,In Person
ITAL3016,Advanced Italian Topics in Language and Literary Studies,"Second Semester, 2018",Undergraduate,6,In Person
JPNS3008,Advanced Japanese: Readings in Literature,"Second Semester, 2018",Undergraduate,6,In Person
KORE3018,Advanced Korean: Literature and Media,"Second Semester, 2018",Undergraduate,6,In Person
CHIN3015,Advanced Literary Chinese,"Second Semester, 2018",Undergraduate,6,Online or In Person
BUSN3003,Advanced Management Accounting,"Second Semester, 2018",Undergraduate,6,In Person
STAT3056,Advanced Mathematical Statistics,"Second Semester, 2018",Undergraduate,6,In Person
MATH1116,Advanced Mathematics and Applications  2,"Second Semester, 2018",Undergraduate,6,In Person
MATH1115,Advanced Mathematics and Applications 1,"Second Semester, 2018",Undergraduate,6,In Person
CHIN3025,Advanced Modern Chinese B,"Second Semester, 2018",Undergraduate,6,In Person
PERS3006,Advanced Persian B,"Second Semester, 2018",Undergraduate,6,In Person
PHIL4011,Advanced Readings in Philosophy,"Second Semester, 2018",Undergraduate,6,In Person
ENVS3019,Advanced Remote Sensing and GIS,"Second Semester, 2018",Undergraduate,6,In Person
PSYC3018,Advanced Research Methods,"Second Semester, 2018",Undergraduate,6,In Person
SKRT3003,Advanced Sanskrit Literature B,"Second Semester, 2018",Undergraduate,6,In Person
SPAN3030,Advanced Spanish topics in Language and Culture,"Second Semester, 2018",Undergraduate,6,In Person
STAT3006,Advanced Stochastic Processes,"Second Semester, 2018",Undergraduate,6,In Person
SCNC2101,Advanced Studies 1,"Second Semester, 2018",Undergraduate,6,In Person
SCNC2102,Advanced Studies 2,"Second Semester, 2018",Undergraduate,6,In Person
ARTS1102,Advanced Studies 2: Doing Research,"Second Semester, 2018",Undergraduate,6,In Person
ARTS2101,Advanced Studies 3,"Second Semester, 2018",Undergraduate,6,In Person
SCNC2103,Advanced Studies 3,"Second Semester, 2018",Undergraduate,6,In Person
ARTS2102,Advanced Studies 4,"Second Semester, 2018",Undergraduate,6,In Person
SCNC2104,Advanced Studies 4,"Second Semester, 2018",Undergraduate,6,In Person
SCNC3101,Advanced Studies 5,"Second Semester, 2018",Undergraduate,6,In Person
ARTS3101,Advanced Studies 5,"Second Semester, 2018",Undergraduate,6,In Person
SCNC3102,Advanced Studies 6,"Second Semester, 2018",Undergraduate,6,In Person
ARTS3102,Advanced Studies 6,"Second Semester, 2018",Undergraduate,6,In Person
ASIA1114,Advanced Studies in Asia and the Pacific 1,"Second Semester, 2018",Undergraduate,6,In Person
ASIA2114,Advanced Studies in Asia and the Pacific 2,"Second Semester, 2018",Undergraduate,6,In Person
ASIA3114,Advanced Studies in Asia and the Pacific 3,"Second Semester, 2018",Undergraduate,6,In Person
PHYS3002,Advanced Theoretical Physics,"Second Semester, 2018",Undergraduate,6,In Person
MATH3354,Advanced Topics in Algebra,"Second Semester, 2018",Undergraduate,6,In Person
PHIL4010,Advanced Topics in Philosophy,"Second Semester, 2018",Undergraduate,6,In Person
COMP4680,Advanced Topics in Statistical Machine Learning,"Second Semester, 2018",Undergraduate,6,In Person
BIOL3144,Advanced and Applied Immunology,"Second Semester, 2018",Undergraduate,6,In Person
ANUC1003,Algebra and Calculus Methods,"Second Semester, 2018",Undergraduate,6,In Person
MATH4204,Algebraic Topology Honours,"Second Semester, 2018",Undergraduate,6,In Person
COMP3600,Algorithms,"Second Semester, 2018",Undergraduate,6,In Person
HIST2126,American Sixties,"Second Semester, 2018",Undergraduate,6,In Person
SOCY1004,Analysing the Social World: An Introduction to Social Psychology,"Second Semester, 2018",Undergraduate,6,In Person
BUSN4007,Analysis of Financial Reporting,"Second Semester, 2018",Undergraduate,6,In Person
BIAN3016,Analysis of Vertebrate Remains,"Second Semester, 2018",Undergraduate,6,In Person
EMSC4122,Analytical Techniques,"Second Semester, 2018",Undergraduate,3,In Person
EMSC4020,Analytical Techniques and Data Analysis,"Second Semester, 2018",Undergraduate,6,In Person
BIAN3125,Ancient Health & Disease,"Second Semester, 2018",Undergraduate,6,In Person
ARTV3616,Animation and Video 8: Independent Work Proposal,"Second Semester, 2018",Undergraduate,6,In Person
ARTV1104,Animation and Video: Digital Equipment and Studios,"Second Semester, 2018",Undergraduate,6,In Person
ARTV2613,Animation and Video: Landscape and Environment,"Second Semester, 2018",Undergraduate,6,In Person
ARTV2614,Animation and Video: Non-linear Forms,"Second Semester, 2018",Undergraduate,6,In Person
ARTV2615,Animation: Creative Possibilities,"Second Semester, 2018",Undergraduate,6,In Person
ASIA2280,Anthropology and Technology in India,"Second Semester, 2018",Undergraduate,6,In Person
EMET4310,Applied Macro & Financial Econometrics,"Second Semester, 2018",Undergraduate,6,In Person
EMET3008,Applied Macro and Financial Econometrics,"Second Semester, 2018",Undergraduate,6,In Person
MATH2306,Applied Mathematics II,"Second Semester, 2018",Undergraduate,6,In Person
SOCY3030,Applied Policy Project,"Second Semester, 2018",Undergraduate,6,In Person
STAT3008,Applied Statistics,"Second Semester, 2018",Undergraduate,6,In Person
ARAB3008,Arab Current Affairs and Media Arabic,"Second Semester, 2018",Undergraduate,6,In Person
ARCH2055,Archaeological Fieldschool,"Second Semester, 2018",Undergraduate,6,In Person
ARCH4003,Archaeology Honours Writing Seminar,"Second Semester, 2018",Undergraduate,6,In Person
ARCH2050,Archaeology of Southeast Asia,"Second Semester, 2018",Undergraduate,6,In Person
ARTH3001,Art History and Curatorship Internship,"Second Semester, 2018",Undergraduate,12,In Person
ARTH4016,Art Museum Internship: Audience Development,"Second Semester, 2018",Undergraduate,6,In Person
ARTH2056,Art and Architecture of Southeast Asia: Tradition and Transformation,"Second Semester, 2018",Undergraduate,6,In Person
ANUC1120,Art and Design Histories: Making and Meaning,"Second Semester, 2018",Undergraduate,6,In Person
ARTH1007,Art and Design Histories: Making and Meaning,"Second Semester, 2018",Undergraduate,6,In Person
COMP1720,Art and Interaction in New Media,"Second Semester, 2018",Undergraduate,6,In Person
ASIA1030,Asia and the Pacific in Motion,"Second Semester, 2018",Undergraduate,6,In Person
FINM3045,Asian Capital Markets,"Second Semester, 2018",Undergraduate,6,In Person
ASIA2065,Asian Politics: From Concepts to Causes,"Second Semester, 2018",Undergraduate,6,In Person
ASIA2098,Asian and Pacific Studies Internship,"Second Semester, 2018",Undergraduate,6,In Person
LING2029,Assessing Language,"Second Semester, 2018",Undergraduate,6,In Person
ASTR4005,Astronomy and Astrophysics IV Honours Research Project,"Second Semester, 2018",Undergraduate,6,In Person
ASTR1001,Astrophysics,"Second Semester, 2018",Undergraduate,6,Online
ASTR3005,Astrophysics Research Topic,"Second Semester, 2018",Undergraduate,6,In Person
PHYS3031,Atomic Physics: Atom-light interactions,"Second Semester, 2018",Undergraduate,6,In Person
BUSN3002,Auditing,"Second Semester, 2018",Undergraduate,6,In Person
PASI2002,Australia in Oceania in the 19th and 20th centuries,"Second Semester, 2018",Undergraduate,6,In Person
ENVS1004,Australia's Environment,"Second Semester, 2018",Undergraduate,6,In Person
ANIP3005,Australian National Internship B,"Second Semester, 2018",Undergraduate,12,In Person
ANIP3007,Australian National Internships Program D,"Second Semester, 2018",Undergraduate,24,In Person
ANIP3003,Australian National Internships Program Internship A,"Second Semester, 2018",Undergraduate,6,In Person
LAWS4285,Australian National Security Law,"Second Semester, 2018",Undergraduate,6,In Person
POLS2114,Australian Political Institutions,"Second Semester, 2018",Undergraduate,6,In Person
BIOL3193,Bacteria and Health:  An Ecological and Evolutionary Perspective,"Second Semester, 2018",Undergraduate,6,In Person
