"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
MGMT7169,A Management Framework For Business Projects,"Second Semester, 2018",Postgraduate,6,In Person
CBEA6070,ANU College of Business and Economics Internship Project (PG),"Second Semester, 2018",Postgraduate,6,In Person
PHYS8011,ANU/NUS Study Program I,"Second Semester, 2018",Postgraduate,6,In Person
PHYS8012,ANU/NUS Study Program II,"Second Semester, 2018",Postgraduate,6,In Person
BUSN7051,Accounting Analytics,"Second Semester, 2018",Postgraduate,6,In Person
INFS7004,Accounting Information Systems,"Second Semester, 2018",Postgraduate,6,In Person
ASIA8021,Activism and Social Change in Asia and the Pacific,"Second Semester, 2018",Postgraduate,6,In Person
ACST8041,Actuarial Control Cycle 2,"Second Semester, 2018",Postgraduate,6,In Person
STAT6045,Actuarial Techniques,"Second Semester, 2018",Postgraduate,6,In Person
LAWS8652,Administrative Decision Making in Australian Migration Law,"Second Semester, 2018",Postgraduate,6,Online
COMP8460,Advanced Algorithms,"Second Semester, 2018",Postgraduate,6,In Person
ARAB6504,Advanced Arabic B,"Second Semester, 2018",Postgraduate,6,Online
BUSN8056,Advanced Auditing and Assurance Services,"Second Semester, 2018",Postgraduate,6,In Person
ENGN8224,Advanced Control Systems,"Second Semester, 2018",Postgraduate,6,In Person
FINM8004,Advanced Corporate Finance,"Second Semester, 2018",Postgraduate,6,In Person
EMSC8019,Advanced Earth Physics,"Second Semester, 2018",Postgraduate,6,In Person
FREN6011,Advanced French II,"Second Semester, 2018",Postgraduate,6,In Person
MATH6214,"Advanced Functional Analysis, Spectral theory and Applications","Second Semester, 2018",Postgraduate,6,In Person
FINM8006,Advanced Investments,"Second Semester, 2018",Postgraduate,6,In Person
ANTH8034,Advanced Issues in Anthropology,"Second Semester, 2018",Postgraduate,12,In Person
ITAL6510,Advanced Italian Topics in Language and Literary Studies,"Second Semester, 2018",Postgraduate,6,In Person
JPNS6508,Advanced Japanese: Readings in Literature,"Second Semester, 2018",Postgraduate,6,In Person
KORE6018,Advanced Korean: Literature and Media,"Second Semester, 2018",Postgraduate,6,In Person
CHIN6015,Advanced Literary Chinese,"Second Semester, 2018",Postgraduate,6,In Person
BUSN8003,Advanced Managerial Decision Making,"Second Semester, 2018",Postgraduate,6,In Person
MATH6208,Advanced Mathematical Bioinformatics,"Second Semester, 2018",Postgraduate,6,In Person
STAT8056,Advanced Mathematical Statistics,"Second Semester, 2018",Postgraduate,6,In Person
CHIN6525,Advanced Modern Chinese B,"Second Semester, 2018",Postgraduate,6,In Person
PERS6006,Advanced Persian B,"Second Semester, 2018",Postgraduate,6,In Person
ENVS6319,Advanced Remote Sensing and GIS,"Second Semester, 2018",Postgraduate,6,In Person
